WKT	OBJECTID	FULLNAME	ZONE	RULE	NOTE	IMPLEMENTD	ADPTDATE	AMDDATE1	AMDDATE2	AMDDATE3	STATUS	Shape_Leng	ENFORCE	Shape_Le_1
"LINESTRING (-118.48202864860636 34.002941154379997,-118.48197549628014 34.00288837171621)"	51	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	25.070008226		25.070008226
"LINESTRING (-118.48238864052172 34.003299337528901,-118.48231020990352 34.003221026298824)"	52	3RD ST	UNK									37.1117309138		37.1117309138
"LINESTRING (-118.48231020990352 34.003221026298824,-118.48223062850884 34.003141731534271)"	53	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	37.6100402082		37.6100402082
"LINESTRING (-118.48223062850884 34.003141731534271,-118.48202864860636 34.002941154379997)"	54	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	95.2670236863		95.2670236863
"LINESTRING (-118.48275677379561 34.00243048505331,-118.48210058219325 34.002890418955005)"	55	BEACH ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	259.945347753		259.945347753
"LINESTRING (-118.47957178049313 34.000511269364388,-118.47885184891693 33.999794887122761)"	56	3RD ST	C	"No parking 6PM-2AM, except by permit."		yes	8/14/84				Implemented	339.97665879		339.97665879
"LINESTRING (-118.5009314471763 34.030812488169673,-118.50000623484189 34.030020748330116)"	57	10TH ST	G	"2 hr parking 9AM-9PM, Mon-Sat, except by permit"		yes	6/28/94	6/24/03			Implemented	402.000507111		402.000507111
"LINESTRING (-118.50000623484189 34.030020748330116,-118.49905194040765 34.029204653104188)"	58	10TH ST	G	"2 hr parking 9AM-9PM, Mon-Sat, except by permit"		yes	6/28/94	6/24/03			Implemented	414.499935933		414.499935933
"LINESTRING (-118.47579531899017 34.040842195803911,-118.47525904186611 34.040383267319378)"	59	STANFORD ST	D	"No parking 12AM-2AM & 9PM-12AM, Mon-Fri.  All day Sat and Sun.  2 hour limit from 9AM-6PM Mon-Fri.  Except by permit."		yes	5/13/86				Implemented	233.000116617		233.000116617
"LINESTRING (-118.47525904186611 34.040383267319378,-118.47381758637226 34.039148881335187)"	60	STANFORD ST	D	"No parking 12AM-2AM & 9PM-12AM, Mon-Fri.  All day Sat and Sun.  2 hour limit from 9AM-6PM Mon-Fri.  Except by permit."		yes	5/13/86				Implemented	626.500403769		626.500403769
"LINESTRING (-118.46341070489687 34.020651672069086,-118.46305315075837 34.020225621756182)"	61	24TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	189.154439623		189.154439623
"LINESTRING (-118.46441836897445 34.021851607150481,-118.4643796874517 34.021806257269141,-118.46341070489687 34.020651672069086)"	62	24TH ST	DD	"No parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	532.848100439		532.848100439
"LINESTRING (-118.46233322141373 34.019507197201058,-118.46141159707837 34.019930902922908)"	63	PEARL ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	319.019268044		319.019268044
"LINESTRING (-118.46349123643643 34.022536871840785,-118.46215457563041 34.020951016540252)"	64	25TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	705.073689951		705.073689951
"LINESTRING (-118.46215457563041 34.020951016540252,-118.46139431937138 34.020048523744926)"	65	25TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	401.178095145		401.178095145
"LINESTRING (-118.46124296137653 34.020008280657841,-118.46033355297705 34.020433566827094)"	66	PEARL ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	316.063467529	12/06/10	316.063467529
"LINESTRING (-118.46241696283246 34.019468014864159,-118.46233322141373 34.019507197201058)"	67	PEARL ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	29.1080543128		29.1080543128
"LINESTRING (-118.46453122691646 34.021986406834728,-118.46441836897445 34.021851607150481)"	68	24TH ST	DD	"No parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	59.8001218875		59.8001218875
"LINESTRING (-118.46250185509307 34.019429817043786,-118.46241696283246 34.019468014864159)"	69	PEARL ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	29.2405729846		29.2405729846
"LINESTRING (-118.46244759692156 34.023096032632253,-118.46125450821916 34.021677603940979)"	70	26TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	630.207035016		630.207035016
"LINESTRING (-118.46332169303983 34.019004285830015,-118.46295694796918 34.019219721434013)"	71	PEARL ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	135.512128987		135.512128987
"LINESTRING (-118.46038486014028 34.020643252160426,-118.4603077968862 34.020552310679591)"	72	26TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	40.5047426405		40.5047426405
"LINESTRING (-118.46125450821916 34.021677603940979,-118.46038486014028 34.020643252160426)"	73	26TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	459.498000494		459.498000494
"LINESTRING (-118.46305315075837 34.020225621756182,-118.46247941184434 34.019542038686843)"	74	24TH ST	DD	"2 hour parking 8AM-6PM daily, except by permit."		yes	4/25/95				Implemented	303.502108595		303.502108595
"LINESTRING (-118.46101686313588 34.017801311860538,-118.46071148187286 34.017440978452299)"	75	24TH ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	160.498520447		160.498520447
"LINESTRING (-118.46071148187286 34.017440978452299,-118.45998726132545 34.01658792764696)"	76	24TH ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	380.184831637		380.184831637
"LINESTRING (-118.46295694796918 34.019219721434013,-118.46250185509307 34.019429817043786)"	77	PEARL ST	DD	"2 hour parking 8AM-6PM Mon-Fri, except by permit."		yes	4/25/95				Implemented	157.684125687		157.684125687
"LINESTRING (-118.49292886949834 34.047848088346321,-118.49159442959538 34.046709037752429)"	78	25TH ST	E	"Current: 2 hour parking 9AM-6PM Mon-Sat, except by permit. Approved for: 2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit."		yes	11/26/85	2/27/01	05/14/13		Implemented	578.999846338		578.999846338
"LINESTRING (-118.49428928912481 34.044765102503099,-118.49238604803908 34.043132140240076)"	79	22ND ST	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	828.002805882		828.002805882
"LINESTRING (-118.49478683442382 34.046681413872079,-118.49345153044045 34.045541159485822)"	80	23RD ST	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	579.500202531		579.500202531
"LINESTRING (-118.49569863990435 34.045968057523339,-118.49442296281025 34.044879201996437)"	81	22ND ST	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	553.499804492		553.499804492
"LINESTRING (-118.49501152839964 34.043869786379567,-118.4949446913749 34.043812736982254)"	82	21ST PL	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	29.000142053		29.000142053
"LINESTRING (-118.49248581550373 34.046209970845105,-118.49247074886625 34.046222201250799,-118.49244947901258 34.046239467699792,-118.49242735285182 34.046255510644166,-118.49240522559954 34.046271553588902,-118.49238280408375 34.046287836636992,-118.49235952409019 34.046302895286814,-118.49233624517653 34.046317954829227,-118.49231296625454 34.0463330143672,-118.49228998266265 34.046347833789113,-118.49226555100005 34.046361909030509,-118.49224141467333 34.046375745057013,-118.4922172783386 34.046389581078692,-118.49219199035527 34.046402432802807,-118.49216699662558 34.046415045316252,-118.49214170862682 34.046427897029801,-118.49211556324703 34.046439526140858,-118.49208971319942 34.046450915135154,-118.4920635677999 34.046462543333469,-118.49203656502067 34.046472948928297,-118.49201101029186 34.046484097794796,-118.49198430392204 34.046494263262673,-118.49195644374581 34.04650344533988,-118.49192887998663 34.046512387295593,-118.49190246893814 34.046522312634643,-118.491874047791 34.046530031077552,-118.49184677935477 34.046538732903997,-118.49181865354284 34.046546212124888,-118.49179082306125 34.046553450327409,-118.49176154560163 34.046559945238364,-118.49173401153983 34.046566944214582,-118.49170532367542 34.046572959797402,-118.49167693223106 34.046578735258969,-118.49165001749948 34.046583311966756)"	83	GEORGINA AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		yes	11/26/85	2/27/01	05/14/13		Implemented	291.333649381	07/15/13	291.333649381
"LINESTRING (-118.4950884403368 34.043935927911619,-118.49501152839964 34.043869786379567)"	84	21ST PL	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	33.5001384825		33.5001384825
"LINESTRING (-118.49550210782547 34.044290985846779,-118.4950884403368 34.043935927911619)"	85	21ST PL	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	180.000718304		180.000718304
"LINESTRING (-118.49556318303637 34.044343116356657,-118.49550210782547 34.044290985846779)"	86	21ST PL	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	26.4998379398		26.4998379398
"LINESTRING (-118.49051630417837 34.04452139180372,-118.4898229635097 34.04508421447963)"	87	CARLYLE AVE	E	"2 hour parking  9AM-6PM Mon-Sat, except by permit."		yes	11/26/85	2/27/01			Implemented	293.375093418		293.375093418
"LINESTRING (-118.49330658607887 34.045536002612636,-118.49262386149056 34.046092151033164)"	88	GEORGINA AVE	E	"Current: 2 hour parking 9AM-6PM Mon-Sat, except by permit. Approved for: 2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit."		yes	11/26/85	2/27/01	05/14/13		Implemented	289.37549845		289.37549845
"LINESTRING (-118.49133931991524 34.043853290576237,-118.49065012613292 34.044412760055053)"	89	CARLYLE AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	291.624929348		291.624929348
"LINESTRING (-118.49382331295875 34.045112683018516,-118.49344808687367 34.04542113199534)"	90	GEORGINA AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	159.753183848		159.753183848
"LINESTRING (-118.49223673526132 34.043126693391336,-118.49148052522813 34.043738661482088)"	91	CARLYLE AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	319.500285596		319.500285596
"LINESTRING (-118.49331094287454 34.045421157746325,-118.49148514724223 34.043857730383245)"	92	23RD ST	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	793.501029779		793.501029779
"LINESTRING (-118.49392862626986 34.047322453496868,-118.4926205970054 34.046211865131738)"	93	24TH ST	E	"Current: 2 hour parking 9AM-6PM Mon-Sat, except by permit. Approved for: 2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit."		yes	11/26/85	2/27/01	05/14/13		Implemented	566.002192419		566.002192419
"LINESTRING (-118.49248577201409 34.046096780247076,-118.49065572121347 34.044525279870101)"	94	24TH ST	E	"Current: 2 hour parking 9AM-6PM Mon-Sat, except by permit. Approved for: 2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit."		yes	11/26/85	2/27/01	05/14/13		Implemented	796.503818505		796.503818505
"LINESTRING (-118.4888619514939 34.045749159655912,-118.48706548145474 34.04421949260793)"	95	26TH ST	E	"Current: 2 hour parking 9AM-6PM Mon-Sat, except by permit. Approved for: 2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit."		yes	11/26/85	2/27/01	05/14/13		Implemented	778.500649784		778.500649784
"LINESTRING (-118.49426221074886 34.044858092476289,-118.49424782430874 34.044864014965185,-118.49422023165603 34.044874900378666,-118.49419379171708 34.04488676915355,-118.4941673517707 34.044898637922657,-118.49414176812627 34.044911730174675,-118.49411648089053 34.044924583202324,-118.49409060189649 34.044937914658028,-118.49406501931639 34.044951007790935,-118.49404029303157 34.044965323506347,-118.49401556673828 34.044979639216621,-118.49399084043655 34.0449939549219,-118.49396726576333 34.04500925399644,-118.49394339683535 34.045024793177539,-118.4939198232331 34.04504009313991,-118.49389710592433 34.045056615686612,-118.49387438860657 34.045073138229071,-118.49385167236287 34.045089660762812,-118.49382331295875 34.045112683018516)"	96	GEORGINA AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	162.781455229		162.781455229
"LINESTRING (-118.4949446913749 34.043812736982254,-118.4932920131173 34.042398581905211)"	97	21ST PL	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	718.00042875		718.00042875
"LINESTRING (-118.48988671702043 34.046638700836738,-118.48900194145452 34.045869646788539)"	98	26TH ST	E	"Current: 2 hour parking 9AM-6PM Mon-Sat, except by permit. Approved for: 2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit."		yes	11/26/85	2/27/01	05/14/13		Implemented	387.515974522		387.515974522
"LINESTRING (-118.49549745877357 34.044406070904962,-118.49549036882441 34.044411826567078,-118.49548327887425 34.044417582228753,-118.49547619000609 34.044423337885561,-118.495469100054 34.044429093546391,-118.49546201010091 34.044434849206851,-118.49545492122982 34.044440604862416,-118.49544783127477 34.044446360522024,-118.49544074131879 34.044452116181233,-118.49543249970984 34.0444568875782,-118.49542540975189 34.044462643236479,-118.49541832087591 34.04446839888994,-118.49541123091601 34.044474154547402,-118.49540298930854 34.044478926843894,-118.49539589934672 34.044484682500467,-118.49538765773727 34.04448945479588,-118.49538086309663 34.044494970332465,-118.49537262148537 34.044499742626847,-118.49536437878487 34.044504514023636,-118.49535728990116 34.044510269673502,-118.49534904828707 34.044515041966328,-118.49534080558901 34.044519814263026,-118.49533401202576 34.044525329792535,-118.49532576932587 34.044530102088174,-118.49531752770268 34.04453487347736,-118.49530928608385 34.044539645767415,-118.49530133870468 34.044544177942541,-118.49529309708406 34.044548950231487,-118.49528485545709 34.044553721618449,-118.49527690915825 34.044558253787443,-118.49526866645185 34.044563026079253,-118.49525956742211 34.044566574889721,-118.4952513257969 34.04457134717584,-118.49524337949455 34.04457587934268,-118.49523513677914 34.044580650730666,-118.49522603774609 34.044584199538612,-118.49521809144113 34.044588731703755,-118.49520869707717 34.04459251972758,-118.49520075077052 34.044597051891586,-118.4951916517342 34.044600600696967,-118.49518370542586 34.044605132859836,-118.49517431106378 34.044608921782512,-118.4951663647537 34.044613453944308,-118.49515726570885 34.044617001845538,-118.49514816666853 34.044620550647636,-118.49513906762742 34.044624099449017,-118.4951314166383 34.04462839148993,-118.4951223175957 34.044631940290081,-118.49511321855225 34.044635489089529,-118.49510411950808 34.044639037888309,-118.49509531578758 34.044642346567954,-118.49508621673658 34.044645894463834,-118.49507711769007 34.044649443260582,-118.49506831396741 34.044652751938258,-118.49505951132707 34.044656060610862,-118.49504925955046 34.044658626046122,-118.49504045582579 34.044661934721788,-118.49503165210035 34.044665243396771,-118.49502284945724 34.044668552066717,-118.49501259767798 34.044671117498815,-118.49500379395053 34.044674426171845,-118.49499413390271 34.044676511361544,-118.49498533017396 34.044679820033167,-118.49497652644449 34.044683128704207,-118.49496657107005 34.044685454009787,-118.49495661461201 34.044687779319069,-118.49494810620563 34.04469084786993,-118.49493815082948 34.044693173173201,-118.4949284896949 34.044695258362111,-118.49491998236972 34.04469832690652,-118.49491002590888 34.044700652211937,-118.49490036585577 34.044702737394132,-118.49489070471914 34.044704822580044,-118.49488104467032 34.044706908662214,-118.4948713835328 34.044708993846513,-118.49486172347768 34.044711079025681,-118.49485206233916 34.04471316420846,-118.49484269761393 34.044715010169732,-118.49482571045107 34.044719204319208)"	99	GEORGINA AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	236.839998922		236.839998922
"LINESTRING (-118.49564470569815 34.044413192761681,-118.49556318303637 34.044343116356657)"	100	21ST PL	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	35.5004178619		35.5004178619
"LINESTRING (-118.49314793155602 34.042394647430996,-118.49237997678269 34.043012328104624)"	101	CARLYLE AVE	E	"2 hr parking 9AM-6PM daily and no parking 6PM-9AM daily, except by permit"		no	11/26/85	2/27/01	05/14/13		Pre-approved (petition needed)	323.503542326		323.503542326
