OBJECTID,RECNUM,LATITUDE,LONGITUDE,ADDRESS,ROUTE,ROUTE_AHEA,ROUTE_BACK,LIB__CODE,LIB__CODE_,LIB__DESCR,LIB__TEXT,DAY1_RESTR,DAY2_RESTR,TIME1_REST,TIME2_REST,MEMO,REFLECTIVI,VISIBILITY,SPEED_LIMI
24,24,34.013001,-118.483586,1853,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 9:00 AM,9:00 AM - 4:00 PM,Other Hr/Min,Very Good,Very Good,0
25,25,34.013001,-118.483586,1853,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,R2-STD,R2-1,Speed Limit [00],SPEED LIMIT [00], , , , ,35 mph,Very Good,Very Good,35
26,26,34.01173,-118.482513,1918,LINCOLN BLVD,BAY ST,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times], , ,3:00 AM - 9:00 AM,4:00 PM - 6:00 PM,2 Hr/Min,Poor,Questionable,0
27,27,34.01173,-118.482513,1918,LINCOLN BLVD,BAY ST,PICO BLVD,AR26E-9-1, ,Tow Away,Tow Away, , , , , ,Poor,Poor,0
28,28,34.013184,-118.48381,1853,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 9:00 AM,9:00 AM - 4:00 PM,Other Hr/Min,Very Good,Very Good,0
29,29,34.013129,-118.481605,911,PICO BLVD,09 ST,10 ST,W54-1,W11A-2,Pedestrian Crossing symbol, , , , , , ,Very Good,Very Good,0
30,30,34.012773,-118.481896,825,PICO BLVD,LINCOLN BLVD,09 ST,TYPEK-1, ,Object Marker, , , , , , ,Very Good,Very Good,0
31,31,34.0135,-118.484162,1831,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 9:00 AM,9:00 AM - 4:00 PM,Other Hr/Min,Very Good,Very Good,0
32,32,34.012572,-118.48266,817,PICO BLVD,LINCOLN BLVD,09 ST,G28-2-2, ,State Shield for Independent Use - 2 digits,[CALIFORNIA]/[0], , , , , ,Questionable,Very Good,0
33,33,34.012572,-118.48266,817,PICO BLVD,LINCOLN BLVD,09 ST,AG34G, ,Large Arrow Right, , , , , ,Both Arrow,Questionable,Very Good,0
34,34,34.012572,-118.48266,817,PICO BLVD,LINCOLN BLVD,09 ST,R35T, , , , , , , ,Thru Arrow,Questionable,Very Good,0
35,35,34.013624,-118.48432,1803,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,G24-3, ,"[Shield]/[Direction]/[Double Destination]  Size: Var. x 110""",[Shield]/[Direction]/[Double Destination], , , , , ,Very Good,Very Good,0
36,36,34.011172,-118.481795,2018,LINCOLN BLVD,GRANT ST,BAY ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 5:00 PM, ,Acceptable,Very Good,0
37,37,34.013643,-118.484341,1803,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,AR31S-2, ,No Stopping Tow Away [Times] [Hours] Hour Parking [Times],No Stopping Tow Away [Times] [Hours] Hour Parking [Times],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 9:00 AM,9:00 AM - 4:00 PM,Other Hr/Min,Very Good,Very Good,0
38,38,34.013845,-118.484559,1801,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Right Arrow,Very Good,Very Good,0
39,39,34.013845,-118.484559,1801,LINCOLN BLVD,MICHIGAN AVE,PICO BLVD,R66,R10-7,Do Not Block Intersection,DO NOT BLOCK INTERSECTION, , , , , ,Acceptable,Very Good,0
40,40,34.01397,-118.484721,1757,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Left Arrow,Very Good,Very Good,0
41,41,34.012472,-118.482945,800,PICO BLVD,LINCOLN BLVD,09 ST,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Right Arrow,Very Good,Very Good,0
42,42,34.010717,-118.481242,2102,LINCOLN BLVD,PACIFIC ST,GRANT ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 5:00 PM, ,Very Good,Very Good,0
43,43,34.014008,-118.484758,1757,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R34-STD,R3-4,No U Turn Symbol, , , , , , ,Very Good,Very Good,0
44,44,34.014008,-118.484758,1757,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R66,R10-7,Do Not Block Intersection,DO NOT BLOCK INTERSECTION, , , , , ,Very Good,Very Good,0
45,45,34.012183,-118.483048,700,PICO BLVD,07 ST,LINCOLN BLVD,R73-6-STD, ,Two Left Turn Arrows/No U Turn,NO U TURN, , , , , ,Very Good,Very Good,0
46,46,34.010539,-118.481029,2120,LINCOLN BLVD,PACIFIC ST,GRANT ST,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Very Good,Very Good,0
47,47,34.014395,-118.485161,1747,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R35T, , , , , , , ,Thru & Right Arrow,Very Good,Very Good,0
48,48,34.014395,-118.485161,1747,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R61-3.1, ,Directional Arrows,ONLY, , , , , ,Very Good,Very Good,0
49,49,34.01194,-118.483827,715,PICO BLVD,07 ST,LINCOLN BLVD,SR4-1, ,School Speed Limit [00] When Children Are Present,SCHOOL/SPEED LIMIT [00] WHEN CHILDREN ARE PRESENT, , , , ,25 mph,Questionable,Poor,25
50,50,34.01194,-118.483827,715,PICO BLVD,07 ST,LINCOLN BLVD,W63-STD,S1-1,Advance School symbol, , , , , , ,Very Good,Very Good,0
51,51,34.011802,-118.48375,707,PICO BLVD,07 ST,LINCOLN BLVD,R7-STD,R4-7,Keep Right, , , , , , ,Very Good,Very Good,0
52,52,34.010007,-118.480369,2212,LINCOLN BLVD,STRAND ST,PACIFIC ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
53,53,34.014472,-118.485243,1747,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Right Arrow,Very Good,Very Good,0
54,54,34.011833,-118.484044,707,PICO BLVD,07 ST,LINCOLN BLVD,R16-STD,R3-1,No Right Turn Symbol, ,SCHOOL DAYS, ,12:00 NOON - 4:00 PM, , ,Acceptable,Very Good,0
55,55,34.01423,-118.485264,1747,LINCOLN BLVD,OLYMPIC BLVD,MICHIGAN AVE,R19-1, ,No [Left] or U Turn,NO [LEFT] OR U TURN, , , , ,Left Arrow,Very Good,Very Good,0
56,56,34.014677,-118.485559,1690,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,G24-3, ,"[Shield]/[Direction]/[Double Destination]  Size: Var. x 110""",[Shield]/[Direction]/[Double Destination], , , , , ,Very Good,Very Good,0
57,57,34.009581,-118.479523,2316,LINCOLN BLVD,KENSINGTON RD,STRAND ST,R34-STD,R3-4,No U Turn Symbol, , , , , , ,Very Good,Very Good,0
58,58,34.011746,-118.484311,635,PICO BLVD,06 ST,07 ST,AR37-3, ,No Stopping Any Time - Tow Away,No Stopping Any Time - Tow Away, , , , ,Both Arrow,Very Good,Very Good,0
59,59,34.011746,-118.484311,635,PICO BLVD,06 ST,07 ST,W5-STD,W1-2R,Curve Sign, , , , , ,Left Arrow,Poor,Acceptable,0
60,60,34.009256,-118.479442,2316,LINCOLN BLVD,KENSINGTON RD,STRAND ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
61,61,34.014491,-118.48564,1690,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R34-2-STD, ,No U Turn/No Left Turn Symbol, , , , , , ,Acceptable,Very Good,0
62,62,34.011676,-118.484343,609,PICO BLVD,06 ST,07 ST,AR37-3, ,No Stopping Any Time - Tow Away,No Stopping Any Time - Tow Away, , , , ,Both Arrow,Questionable,Poor,0
63,63,34.011568,-118.484543,609,PICO BLVD,06 ST,07 ST,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Questionable,Very Good,0
64,64,34.011422,-118.48482,600,PICO BLVD,06 ST,07 ST,AR37-3, ,No Stopping Any Time - Tow Away,No Stopping Any Time - Tow Away, , , , ,Both Arrow,Very Good,Acceptable,0
65,65,34.015046,-118.485992,1690,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R35T, , , , , , , ,Thru & Left Arrow,Very Good,Very Good,0
66,66,34.01134,-118.484964,600,PICO BLVD,06 ST,07 ST,R62A-STD,R10-4,Push Button For Walk Signal (arrow),PUSH BUTTON FOR WALK SIGNAL, , , , ,Left Arrow,Questionable,Very Good,0
67,67,34.014931,-118.486006,1690,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,G24-5, ,"[Shield]/[Direction]/[Destination]/Arrow  Size: Var. x 110""",[Shield]/[Direction]/[Destination], , , , , ,Very Good,Very Good,0
68,68,34.011163,-118.484886,600,PICO BLVD,07 ST,06 ST,R62A-STD,R10-4,Push Button For Walk Signal (arrow),PUSH BUTTON FOR WALK SIGNAL, , , , ,Left Arrow,Questionable,Acceptable,0
69,69,34.015201,-118.486157,1690,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R16B-1.1, ,No Right Turn,NO RIGHT TURN, , , , , ,Very Good,Very Good,0
70,70,34.011242,-118.48473,618,PICO BLVD,07 ST,06 ST,AR37-3, ,No Stopping Any Time - Tow Away,No Stopping Any Time - Tow Away, , , , ,Both Arrow,Poor,Very Good,0
71,71,34.011242,-118.48473,618,PICO BLVD,07 ST,06 ST,R2-STD,R2-1,Speed Limit [00],SPEED LIMIT [00], , , , ,35 mph,Very Good,Acceptable,35
72,72,34.015218,-118.486171,1690,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R10-1, ,One Way Arrow (Rt. or Lt),ONE WAY, , , , ,Left Arrow,Very Good,Acceptable,0
73,73,34.011471,-118.484286,632,PICO BLVD,07 ST,06 ST,AR37-3, ,No Stopping Any Time - Tow Away,No Stopping Any Time - Tow Away, , , , ,Both Arrow,Acceptable,Poor,0
74,74,34.011471,-118.484286,632,PICO BLVD,07 ST,06 ST,R35T, , , , , , , ,Thru & Both Arrow,Acceptable,Poor,0
75,75,34.014941,-118.486071,1670,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R34-2-STD, ,No U Turn/No Left Turn Symbol, , , , , , ,Very Good,Very Good,0
76,76,34.015227,-118.486377,1670,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,G24-3, ,"[Shield]/[Direction]/[Double Destination]  Size: Var. x 110""",[Shield]/[Direction]/[Double Destination], , , , , ,Very Good,Very Good,0
77,77,34.015227,-118.486377,1670,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R10-1, ,One Way Arrow (Rt. or Lt),ONE WAY, , , , ,Right Arrow,Very Good,Very Good,0
78,78,34.015227,-118.486377,1670,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R17B-1.1, ,No Left Turn,NO LEFT TURN, , , , , ,Very Good,Very Good,0
79,79,34.009328,-118.479104,2311,LINCOLN BLVD,PEARL ST,CEDAR ST,AG2, ,[Park] w/ Tree symbol,[Park], , , , ,Left Arrow,Acceptable,Very Good,0
80,80,34.009328,-118.479104,2311,LINCOLN BLVD,PEARL ST,CEDAR ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
81,81,34.011887,-118.483947,708,PICO BLVD,LINCOLN BLVD,07 ST,R10A-1,R6-2R,One Way/Arrow,ONE WAY, , , , ,Left Arrow,Questionable,Questionable,0
82,82,34.014535,-118.485725,1670,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R16B-1.1, ,No Right Turn,NO RIGHT TURN, , , , , ,Acceptable,Poor,0
83,83,34.014535,-118.485725,1670,LINCOLN BLVD,OLYMPIC BLVD,OLYMPIC BLVD,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Right Arrow,Very Good,Very Good,0
84,84,34.009589,-118.479551,2221,LINCOLN BLVD,PACIFIC ST,PEARL ST,R34-STD,R3-4,No U Turn Symbol, , , , , , ,Very Good,Very Good,0
85,85,34.014531,-118.485701,1732,LINCOLN BLVD,MICHIGAN AVE,OLYMPIC BLVD,R34A, ,No U Turn,NO U TURN, , , , , ,Acceptable,Very Good,0
86,86,34.014531,-118.485701,1732,LINCOLN BLVD,MICHIGAN AVE,OLYMPIC BLVD,R59-1.2, ,Only (arrow lt and rt),ONLY, , , , ,Left Arrow,Acceptable,Very Good,0
87,87,34.011969,-118.483353,720,PICO BLVD,LINCOLN BLVD,07 ST,AR37-3, ,No Stopping Any Time - Tow Away,No Stopping Any Time - Tow Away, , , , ,Both Arrow,Questionable,Acceptable,0
88,88,34.011969,-118.483353,720,PICO BLVD,LINCOLN BLVD,07 ST,G28-2-2, ,State Shield for Independent Use - 2 digits,[CALIFORNIA]/[0], , , , , ,Questionable,Very Good,0
89,89,34.011969,-118.483353,720,PICO BLVD,LINCOLN BLVD,07 ST,AG34G, ,Large Arrow Right, , , , , ,Left Arrow,Questionable,Very Good,0
90,90,34.010184,-118.480177,2207,LINCOLN BLVD,PACIFIC ST,PEARL ST,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Very Good,Very Good,0
91,91,34.013941,-118.485089,1754,LINCOLN BLVD,MICHIGAN AVE,OLYMPIC BLVD,G28-2-2, ,State Shield for Independent Use - 2 digits,[CALIFORNIA]/[0], , , , , ,Very Good,Very Good,0
92,92,34.012,-118.483302,760,PICO BLVD,LINCOLN BLVD,07 ST,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Very Good,Very Good,0
93,93,34.013862,-118.484998,1758,LINCOLN BLVD,MICHIGAN AVE,OLYMPIC BLVD,R18-2.1,R3-7R,[Right] Lane Must Turn [Right],[RIGHT] LANE MUST TURN [RIGHT], , , , ,Right Arrow,Very Good,Very Good,0
94,94,34.013862,-118.484998,1758,LINCOLN BLVD,MICHIGAN AVE,OLYMPIC BLVD,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Left Arrow,Very Good,Very Good,0
95,95,34.012133,-118.482997,800,PICO BLVD,LINCOLN BLVD,07 ST,R62D-STD,R10-4B,Push Button For (pedestrian symbol)/Arrow,PUSH BUTTON FOR, , , , ,Right Arrow,Very Good,Very Good,0
96,96,34.013788,-118.484768,1804,LINCOLN BLVD,PICO BLVD,MICHIGAN AVE,R34-STD,R3-4,No U Turn Symbol, , , , , , ,Very Good,Very Good,0
97,97,34.012526,-118.482909,907,PICO BLVD,09 ST,LINCOLN BLVD,R73-6-STD, ,Two Left Turn Arrows/No U Turn,NO U TURN, , , , , ,Very Good,Very Good,0
98,98,34.01346,-118.484529,1812,LINCOLN BLVD,PICO BLVD,MICHIGAN AVE,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Acceptable,0
99,99,34.010689,-118.480829,2107,LINCOLN BLVD,GRANT ST,PACIFIC ST,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES],MON\TUES\WED\THURS\FRI\SAT,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
100,100,34.012442,-118.482724,824,PICO BLVD,09 ST,LINCOLN BLVD,R7-STD,R4-7,Keep Right, , , , , , ,Very Good,Very Good,0
101,101,34.013022,-118.48402,1834,LINCOLN BLVD,PICO BLVD,MICHIGAN AVE,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
102,102,34.013022,-118.48402,1834,LINCOLN BLVD,PICO BLVD,MICHIGAN AVE,R35T, , , , , , , ,Thru & Both Arrow,Very Good,Very Good,0
103,103,34.012508,-118.482336,826,PICO BLVD,09 ST,LINCOLN BLVD,W54A-STD,W11-2,Pedestrian symbol, , , , , , ,Acceptable,Very Good,0
104,104,34.012633,-118.483558,1850,LINCOLN BLVD,PICO BLVD,MICHIGAN AVE,R31-1.1, ,No Parking (times)/ [0] Hour Parking (times),NO PARKING [TIMES]/[0] HOUR PARKING [TIMES], ,MON\TUES\WED\THURS\FRI\SAT,3:00 AM - 5:00 AM,9:00 AM - 6:00 PM, ,Very Good,Very Good,0
105,105,34.01255,-118.483467,1850,LINCOLN BLVD,PICO BLVD,MICHIGAN AVE,AG3, ,[Destination] with arrow symbol,[Destination], , , , ,Right Arrow,Very Good,Very Good,0
106,106,34.013086,-118.481634,828,PICO BLVD,10 ST,09 ST,TYPEK-1, ,Object Marker, , , , , , ,Very Good,Very Good,0
107,107,34.010577,-118.485894,501,PICO BLVD,04 ST,06 ST,R10-1, ,One Way Arrow (Rt. or Lt),ONE WAY, , , , ,Left Arrow,Poor,Poor,0
108,108,34.008184,-118.489493,205,PICO BLVD,MAIN ST,04 ST,AG1, ,Big Blue Bus,Big Blue Bus, , , , , ,Very Good,Very Good,0
109,109,34.02969,-118.503157,549,LINCOLN BLVD,MARGUERITA AVE,ALTA AVE,R2-STD,R2-1,Speed Limit [00],SPEED LIMIT [00], , , , ,30 mph,Poor,Very Good,30
110,110,34.02969,-118.503157,549,LINCOLN BLVD,MARGUERITA AVE,ALTA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Poor,Very Good,0
111,111,34.030086,-118.503625,527,LINCOLN BLVD,MARGUERITA AVE,ALTA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Acceptable,Poor,0
112,112,34.030386,-118.503964,513,LINCOLN BLVD,MARGUERITA AVE,ALTA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Acceptable,Very Good,0
113,113,34.030599,-118.504211,501,LINCOLN BLVD,MARGUERITA AVE,ALTA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Acceptable,Poor,0
114,114,34.031195,-118.504937,447,LINCOLN BLVD,GEORGINA AVE,MARGUERITA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Acceptable,Very Good,0
115,115,34.031482,-118.505267,431,LINCOLN BLVD,GEORGINA AVE,MARGUERITA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Acceptable,Very Good,0
116,116,34.031867,-118.50572,411,LINCOLN BLVD,GEORGINA AVE,MARGUERITA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Very Good,Very Good,0
117,117,34.032067,-118.505954,407,LINCOLN BLVD,GEORGINA AVE,MARGUERITA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Poor,Very Good,0
118,118,34.03269,-118.506692,319,LINCOLN BLVD,SAN VICENTE BLVD,GEORGINA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Poor,Very Good,0
119,119,34.032763,-118.50676,319,LINCOLN BLVD,SAN VICENTE BLVD,GEORGINA AVE,R32B-1, ,No Parking (times),NO PARKING (TIMES],FRI, ,12:00 NOON - 2:00 PM, , ,Poor,Very Good,0
120,120,34.032929,-118.506951,319,LINCOLN BLVD,SAN VICENTE BLVD,GEORGINA AVE,R1-STD,R1-1,STOP sign,STOP, , , , , ,Very Good,Very Good,0
121,121,34.032613,-118.506858,320,LINCOLN BLVD,GEORGINA AVE,SAN VICENTE BLVD,R32B-1, ,No Parking (times),NO PARKING (TIMES],THURS, ,3:00 PM - 5:00 PM, , ,Poor,Poor,0
